Modifier,Modifier Description
P,"Physician's office (includes HMO non-hospital facility, clinic, etc.) For Medicare purposes, urgent care centers, clinics and freestanding emergency rooms are considered physician offices."
QL,Patient pronounced dead after ambulance called
R,Residence
S,Scene of accident or acute event
X,"(Destination code only) Intermediate stop at physician's office on the way to the Hospital (includes HMO non-hospital facility, clinic, etc.)"
LT,Left side of body
RT,Right side of body
E1,"Upper left, eyelid"
E3,"Upper right, eyelid"
E2,"Lower left, eyelid"
E4,"Lower right, eyelid"
CO,Outpatient occupational therapy services furnished in whole or in part by an occupational therapy assistant
CQ,Outpatient physical therapy services furnished in whole or in part by a physical therapist assistant
GN,Services delivered under an outpatient speech language pathology plan of care
GO,Services delivered under an outpatient occupational therapy plan of care
GP,Services delivered under an outpatient physical therapy plan of care
KX,Used to indicate the services rendered are medically necessary
93,Synchronous telemedicine service rendered via telephone or other real-time interactive audio-only telecommunications system
95,Synchronous telemedicine service via real-time audio and video telecommunications
FQ,Service furnished using audio-only communication technology
FR,"Supervising practitioner present through two-way, audio and video communication"
GQ,Alaska and Hawaii only - asynchronous telecommunication system
1P,Performance Measure Exclusion Modifier due to Medical Reasons
2P,Performance Measure Exclusion Modifier due to Patient Reasons
3P,Performance Measure Exclusion Modifier due to System Reasons
8P,"Performance Measure Reporting Modifier – action not performed, reason not otherwise specified"
AT,Acute or Active Treatment
80,Assistant surgeon
81,Minimum assistant surgeon
82,Assistant surgeon – when qualified resident surgeon not available
AS,"Physician Assistant (PA), Nurse Practitioner (NP) or Clinical Nurse Specialist (CNS) assistant at surgery services"
AA,Anesthesia services performed personally by an anesthesiologist
AD,Medical supervision by a physician; more than four concurrent anesthesia procedures
G8,"Monitored anesthesia care (MAC) for deep complex, complicated or markedly invasive surgical procedure"
G9,Monitored anesthesia care (MAC) for a patient who has a history of severe cardiopulmonary condition
QK,"Medical direction of two, three or four concurrent anesthesia procedures involving qualified individuals"
QS,Monitored anesthesia care service
QX,CRNA service; with medical direction by a physician
QY,Medical direction of one certified registered nurse anesthetist (CRNA) by an anesthesiologist
QZ,CRNA service; without medical direction by a physician
23,"Unusual anesthesia - Used to report a procedure which usually requires either no anesthesia or local anesthesia; however, because of unusual circumstances must be done under general anesthesia. Coverage/payment will be determined on a ""by-report"" basis."
47,Anesthesia by surgeon – Used to report regional or general anesthesia provided by the surgeon (Not covered by Medicare).
P1 – P6,Physical Status Modifiers (Not used by Medicare)
LC,Left circumflex coronary artery
LD,Left anterior descending coronary artery
RI,Ramus Intermediu
RC,Right coronary artery
LM,Left main coronary artery
TA,"Left foot, great toe"
T1,"Left foot, second digit"
T2,"Left foot, third digit"
T3,"Left foot, fourth digit"
T4,"Left foot, fifth digit"
T5,"Right foot, great toe"
T6,"Right foot, second digit"
T7,"Right foot, third digit"
T8,"Right foot, fourth digit"
T9,"Right foot, fifth digit"
FA,"Left hand, thumb"
F1,"Left hand, second digit"
F2,"Left hand, third digit"
F3,"Left hand, fourth digit"
F4,"Left hand, fifth digit"
F5,"Right hand, thumb"
F6,"Right hand, second digit"
F7,"Right hand, third digit"
F8,"Right hand, fourth digit"
F9,"Right hand, fifth digit"
