reconciliation_owner_status,remittance_advice_remark_code,remittance_advice_remark_code_description,claim_adjustment_reason_code,claim_adjustment_reason_code_description,no_approved_resubmissions,list_approved_resubmissions,no_rejected_resubmissions,list_rejected_resubmissions,no_denied_resubmissions,list_denied_resubmissions,no_partially_denied_resubmissions,list_partially_denied_resubmissions,unworked_claims_count,unworked_claims_list
SITE_RESPONSIBILITY,N781,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected deductible. This amount may be billed to a subsequent payer.,1,Deductible Amount,0,{null},0,{null},1,{155918},0,{null},0,""
ATHELAS_RESPONSIBILITY,N782,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected coinsurance. This amount may be billed to a subsequent payer.,1,Deductible Amount,0,{null},2,"{180953,181913,null}",5,"{141671,151875,158161,250603,309330,null}",6,"{102275,130797,130803,130804,182179,248445,null}",0,""
NON_WORKABLE,N782,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected coinsurance. This amount may be billed to a subsequent payer.,1,Deductible Amount,1,"{304911,null}",2,"{180952,181914,null}",7,"{95174,95424,138783,149491,149562,231378,494130,null}",0,{null},0,""
ATHELAS_RESPONSIBILITY,N783,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected copayment. This amount may be billed to a subsequent payer.,1,Deductible Amount,1,"{180955,null}",0,{null},3,"{130400,268003,494181}",0,{null},0,""
NON_WORKABLE,N783,Alert: Patient is a Medicaid/ Qualified Medicare Beneficiary. Review your records for any wrongfully collected copayment. This amount may be billed to a subsequent payer.,1,Deductible Amount,0,{null},0,{null},1,{180954},1,{131403},0,""
ATHELAS_RESPONSIBILITY,N807,Payment adjustment based on the Merit-based Incentive Payment System (MIPS).,1,Deductible Amount,0,{null},2,"{89178,316829,null}",14,"{92605,92617,92827,127847,137830,145807,151875,155236,178237,226576,233297,278681,316877,328913}",3,"{72676,84387,182179,null}",0,""
NON_WORKABLE,N807,Payment adjustment based on the Merit-based Incentive Payment System (MIPS).,1,Deductible Amount,0,{null},1,"{178534,null}",6,"{92909,149491,149562,164773,182169,214780,null}",3,"{72675,134482,483604,null}",0,""
ATHELAS_RESPONSIBILITY,N823,Incomplete/Invalid procedure modifier(s).,1,Deductible Amount,0,{null},0,{null},1,{143735},0,{null},0,""
ATHELAS_RESPONSIBILITY,N851,Payment reduced because services were furnished by a therapy assistant.,1,Deductible Amount,1,{496060},0,{null},1,{351589},0,{null},0,""
ATHELAS_RESPONSIBILITY,NO_RARC,Placeholder RARC,1,Deductible Amount,4,"{170936,272690,424620,429658,null}",5,"{37287,40224,42431,44197,45640,null}",0,{null},4,"{8354,44208,201777,504107,null}",0,""
NON_WORKABLE,NO_RARC,Placeholder RARC,1,Deductible Amount,0,{null},12,"{37281,37325,42428,42435,44195,44202,45636,45641,53061,53070,164779,179144}",1,"{101188,null}",1,"{101165,null}",0,""
SITE_RESPONSIBILITY,NO_RARC,Placeholder RARC,1,Deductible Amount,1,{503740},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,,,1,Deductible Amount,198,"{8997,9003,18951,54099,54100,54133,72884,77986,79836,79839,79904,79931,79942,79953,79988,101228,105367,105372,105383,105400,105463,105529,105585,105609,105612,105655,105670,138888,138962,138999,139065,139068,139078,139081,139673,142672,143718,144662,145176,145515,145696,145714,145718,146868,146897,146947,148308,148335,148341,149499,155035,155065,156179,164584,164719,169465,169466,169467,169468,169469,169470,169969,169970,169971,170009,170010,170011,170012,177982,177990,177994,177998,177999,178007,178014,178016,178020,178022,178024,178026,178027,178030,178034,178057,178146,178968,190486,192468,204754,208794,208797,211223,217987,218024,225642,231389,231830,232172,233861,233863,234278,236197,240253,245656,254291,260176,260177,265014,265015,265016,265017,265018,267536,267537,267538,267539,267540,273857,278822,305198,305201,305203,312287,312315,325285,343004,363406,440157,440158,456254,461789,462678,462790,472542,475497,475498,479772,483778,491947,495204,495340,495357,496058,496060,508326,509256,509261,514983,515363,519446,533184,537780,539803,540918,540924,540926,540931,540942,540970,540999,541000,541821,546037,546708,548692,548722,552429,552430,552431,552618,552623,552624,552625,552626,552627,557602,557603,557604,557605,557607,557609,561631,562070,562199,565033,565034,565035,567512,571050,576687,577546,578325,585459,585471,585481,587608,589339,589354,null}",174,"{19811,20677,27827,31822,34570,42259,45627,53251,82661,82670,83607,89213,95396,97508,102697,107002,107013,107199,142479,142807,156880,164792,166631,168890,168899,169270,169348,169349,169350,169432,169433,170232,178435,178707,178758,178916,178917,178918,178919,178920,178921,178971,178973,178974,178975,178976,178977,178978,178979,178980,178981,178982,179104,191202,198722,204344,204345,204426,204427,228287,228288,228289,228290,228338,228339,228340,228443,228598,231496,231942,232167,232168,238703,238704,238705,238821,238822,244019,245840,247697,267541,267542,304350,304769,310895,311036,312370,312406,312439,312473,312489,312815,312852,312855,312861,312876,316826,316829,317696,317777,317781,319871,331122,331157,344388,344389,437513,437571,437864,462366,478432,478434,478619,478624,478714,478988,478993,479012,479013,479014,479017,479087,479345,483611,484310,493971,494899,495350,495443,509277,509278,520498,521829,533185,540000,540050,540441,540453,540575,540629,540727,540998,547870,547887,547899,547906,547908,547920,547929,547964,548224,548472,548478,548488,548948,548966,552296,562821,570944,570953,570983,570986,570992,571015,571023,571031,571032,571057,576739,577205,597039,597046,615369,642830,null}",177,"{18968,33816,41299,44824,44825,44834,45644,46692,49031,54212,56549,60475,61150,71922,75527,77965,77980,83200,88424,88446,88757,88767,88802,90090,92827,95429,101230,101231,101244,105397,105595,107012,108102,108184,108600,123078,129179,129195,131642,132119,133056,133134,134295,134539,137757,137814,137820,137826,138653,139085,142537,142542,142680,142721,143735,145179,145650,145652,145809,147328,148310,151310,152044,152499,154177,169262,169401,169856,169913,171061,178039,178042,184454,184492,190505,190996,191038,191042,191147,191179,191188,195280,196492,198553,211226,214737,214743,214746,214749,214769,214773,214779,215041,216267,228388,231772,238712,238713,238882,243520,245526,246070,247324,248048,249367,249873,309944,312795,313122,318216,321075,321430,321434,325105,327774,328033,328912,329771,329772,351589,390986,401397,408795,408798,409629,418959,426610,429663,437887,439557,461810,462714,472541,472543,472544,472558,472559,472561,472565,472566,478823,482406,483903,494596,495334,501593,501681,501706,502852,512065,519451,547907,549030,557606,557610,559293,560494,560541,567759,567767,569816,570834,570981,571562,576692,576713,576888,577369,584323,584332,584336,585049,585480,587614,595293,598995,611793,null}",170,"{8354,30586,33750,42191,51474,58634,58847,61191,75736,75790,75805,75806,75807,75808,75821,75840,75933,75935,75970,75976,75979,75981,76143,76144,76145,76146,77964,77967,77975,77980,77982,77985,78874,79813,79826,79881,79885,79886,79888,79911,79936,79938,79940,79947,79958,79972,79980,88454,90204,90294,91927,91929,96055,102274,106022,107057,108114,108119,108303,111717,132740,143810,146887,147428,151596,151899,152267,155097,155837,155959,156112,156161,158296,177986,177996,178015,178017,178019,178023,178035,178828,178830,178831,184453,211121,215724,217937,217944,217956,217963,217973,218005,218008,218019,227794,232003,232247,232605,239049,254228,254293,254652,312743,316849,317747,322049,424728,462665,478583,478825,479651,479652,479653,480393,480394,483993,494834,501653,502785,502794,516285,519451,519463,519465,519469,519471,540921,540923,540925,545995,546014,546016,546017,546019,546023,546026,546706,547866,547874,547889,547916,547956,547960,547981,547988,547995,548044,548062,548073,548094,548151,548164,548198,548199,548363,548988,552295,560191,560486,570758,570942,570959,577397,577720,595299,603182,603209,603221,603301,603320,null}",0,""
NON_WORKABLE,,,1,Deductible Amount,43,"{88463,90196,90276,91105,105363,105480,105520,105563,105571,133183,133826,134085,134533,137718,137720,137730,138959,138984,146243,155991,169589,169591,170007,170008,218007,218025,228596,254292,313109,313114,313115,330726,331292,335866,481381,491807,491919,491927,491941,491946,522944,522967,546006,null}",55,"{82676,83566,83577,83613,84513,88456,92308,107061,108308,108323,108443,110875,110898,121760,123223,127804,129219,131089,139651,140480,142805,142822,169590,178372,178724,178725,178726,178727,178728,178729,178730,178731,178732,178733,178734,178970,178972,179106,179107,179108,179109,188359,191029,238674,249084,402332,478860,478968,483818,515023,522190,547842,547846,548937,585044,null}",161,"{8874,12834,17042,22696,30640,33084,33141,47745,49037,69997,70025,70070,70119,70146,70148,70172,70209,70222,70228,70279,70283,70291,72398,77684,84526,84573,87356,88439,92020,92909,94281,94534,95414,95428,97836,102668,103358,105449,108133,108142,108193,108326,108428,109655,109722,109728,109731,109865,112795,114536,117404,121629,124105,124495,124497,124498,125788,126062,127474,127476,129132,129169,129170,129171,129172,129173,129174,129175,131509,131510,132698,132699,132700,132702,132704,133189,133196,133532,134141,134187,134545,138915,139048,139057,139080,139087,141378,142718,144677,145201,145569,145577,145715,147362,149358,152495,153840,153856,154150,154187,154202,154204,154227,155106,155218,164773,169400,169402,169403,169826,169912,171078,171158,177993,178031,178037,182169,183498,184466,188251,188353,188411,188473,192460,192463,192467,198536,211230,214763,214766,214771,214778,214781,214786,214789,214793,214806,214811,214812,214819,222056,224665,226478,228727,231379,254290,312722,333299,333303,336937,345241,472564,493744,540945,540947,540953,540957,557608,559091,577662,577721,null}",58,"{47745,52329,74190,77703,78023,84572,87374,88437,88461,90293,91708,100545,106380,107060,108140,108305,108330,108334,108337,108580,123206,129191,152030,192457,211200,228662,312771,312774,312776,312777,317752,317753,370720,370721,479609,479647,479722,479785,483604,519460,522927,522954,522958,540915,540927,540930,540932,540934,540940,540944,540948,540950,540952,540956,547914,570974,571003,577482,null}",0,""
SITE_RESPONSIBILITY,,,1,Deductible Amount,3,"{133828,144850,155118,null}",5,"{170567,179105,330679,370716,484325,null}",22,"{45338,46478,79928,89211,91509,102588,108548,129176,131644,139646,145576,214796,273858,312762,329943,330585,331170,409566,409568,409618,409630,540939,null}",20,"{77968,103700,109862,129380,149563,178025,178048,231408,483754,484110,611786,611787,611792,611795,611802,611805,611806,611957,611959,611960,null}",0,""
SITE_RESPONSIBILITY,,,10,"The diagnosis is inconsistent with the patient's gender. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},1,{502824},0,{null},0,""
ATHELAS_RESPONSIBILITY,N220,Alert: See the payer's web site or contact the payer's Customer Service department to obtain forms and instructions for filing a provider dispute.,100,Payment made to patient/insured/responsible party.,1,{440420},0,{null},1,{189327},0,{null},0,""
ATHELAS_RESPONSIBILITY,NO_RARC,Placeholder RARC,100,Payment made to patient/insured/responsible party.,1,{531343},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,PR-2,N/A,100,Payment made to patient/insured/responsible party.,1,{531343},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,,,100,Payment made to patient/insured/responsible party.,2,"{531337,531343}",0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,MA67,Alert: Correction to a prior claim.,102,Major Medical Adjustment.,1,"{300821,null}",0,{null},2,"{280486,594326}",0,{null},1,{556897}
ATHELAS_RESPONSIBILITY,,,102,Major Medical Adjustment.,2,"{67541,390822}",0,{null},0,{null},0,{null},0,""
NON_WORKABLE,,,102,Major Medical Adjustment.,0,{null},0,{null},0,{null},1,{249071},0,""
ATHELAS_RESPONSIBILITY,,,104,Managed care withholding.,7,"{232066,241020,311051,312515,501691,501700,501739,null}",17,"{241043,311255,312319,312327,312830,462285,462611,478540,478672,478701,478703,478704,478725,478726,478805,494385,540488,null}",33,"{241030,241038,305333,311150,311158,311206,312108,312337,312346,312387,312419,312475,312500,312513,312540,312797,462282,462428,464113,464114,478442,478520,478674,478715,478816,495383,501695,502849,502870,523099,577691,602588,602625}",7,"{241023,311257,312487,462755,478728,501668,501727,null}",0,""
NON_WORKABLE,,,104,Managed care withholding.,0,{null},0,{null},0,{null},1,{311274},0,""
SITE_RESPONSIBILITY,,,104,Managed care withholding.,0,{null},0,{null},1,{462718},0,{null},0,""
NON_WORKABLE,MA67,Alert: Correction to a prior claim.,102,Major Medical Adjustment.,0,"",0,"",0,"",0,"",8,"{196228,215541,359157,476547,480541,480552,480587,534532}"
ATHELAS_RESPONSIBILITY,,,102,Major Medical Adjustment.,0,"",0,"",0,"",0,"",1,{396023}
ATHELAS_RESPONSIBILITY,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",12,"{608042,608045,608049,608051,608069,608072,608073,608074,608084,608085,608087,608088,null}",20,"{232074,250758,311110,311111,311112,311113,311114,317650,355591,467034,467035,467036,467037,467038,479192,479425,479426,479479,479486,479615}",8,"{608038,608043,608071,608075,608076,608099,608100,608439,null}",0,{null},0,""
NON_WORKABLE,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{198273}
SITE_RESPONSIBILITY,M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",1,{170057},1,{228315},0,{null},0,{null},1,{198292}
ATHELAS_RESPONSIBILITY,N674,Not covered unless a pre-requisite procedure/service has been provided.,107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},0,{null},3,"{587270,587587,587594}",1,{587270}
SITE_RESPONSIBILITY,,,107,"The related or qualifying claim/service was not identified on this claim. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,"",0,"",0,"",0,"",1,{569986}
ATHELAS_RESPONSIBILITY,NO_RARC,Placeholder RARC,108,"Rent/purchase guidelines were not met. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},8,"{334794,362547,362643,362791,367857,368030,467903,468164}",0,{null},0,""
SITE_RESPONSIBILITY,NO_RARC,Placeholder RARC,108,"Rent/purchase guidelines were not met. Usage: Refer to the 835 Healthcare Policy Identification Segment (loop 2110 Service Payment Information REF), if present.",0,{null},0,{null},1,{362491},0,{null},3,"{360353,362491,367496}"
ATHELAS_RESPONSIBILITY,M62,Missing/incomplete/invalid treatment authorization code.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,0,{null},1,"{183243,null}",2,"{140293,168417}",0,{null},0,""
ATHELAS_RESPONSIBILITY,MA120,Missing/incomplete/invalid CLIA certification number.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,0,{null},2,"{618491,618492}",0,{null},0,{null},2,"{480506,623336}"
NON_WORKABLE,MA15,Alert: Your claim has been separated to expedite handling. You will receive a separate notice for the other services reported.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,1,{110805},0,{null},1,{231514},0,{null},0,""
ATHELAS_RESPONSIBILITY,N104,This claim/service is not payable under our claims jurisdiction area. You can identify the correct Medicare contractor to process this claim/service through the CMS website at www.cms.gov.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,27,"{270952,270968,276616,276618,276619,276620,276621,277530,278035,287475,287749,287750,293736,300996,300998,300999,301000,301001,301004,301005,303127,303128,303130,303132,303134,303136,313005,null}",16,"{250985,250986,251627,251628,251631,251653,251667,251680,251688,251699,254201,254202,254203,256968,256970,256986,null}",57,"{250484,250485,250486,251623,251629,251630,251632,251663,251693,251706,270914,270921,270926,270927,270929,270933,270934,270942,270943,270947,270948,272849,272861,272869,272872,272874,272877,272986,272989,272991,272992,274525,274526,274527,274528,274529,274531,274532,277465,277533,277534,277602,278002,278077,278323,278792,278811,287441,287457,288452,296808,300953,300954,300955,300957,300959,395953,null}",130,"{270915,270916,270917,270920,270925,270931,270932,270935,270937,270938,270939,270940,270941,270944,270945,270946,270949,270953,270954,270955,270956,270958,270959,270960,270961,270962,270965,270966,270967,270969,270970,270971,270972,270973,270974,270975,270976,270977,270978,270979,270980,270981,270982,270983,270984,270985,270986,270987,270988,270989,270990,270991,270992,271876,271877,272852,272853,272858,272871,272875,272876,274530,274533,274534,276607,276609,276610,276611,276612,276613,276614,276615,277464,277466,277491,277495,277523,277532,277535,277537,277556,278096,278617,278658,278710,278717,278731,278749,278768,278781,278803,278812,278815,278819,278821,278824,278826,278829,287430,287431,287436,287448,287449,287451,287453,287454,287455,287456,287458,287460,287461,287462,287465,287466,287467,287468,287469,287470,287471,287472,287474,287476,300997,301002,301006,367552,371937,371938,371939,371942,null}",1,{296808}
NON_WORKABLE,N104,This claim/service is not payable under our claims jurisdiction area. You can identify the correct Medicare contractor to process this claim/service through the CMS website at www.cms.gov.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,0,{null},0,{null},10,"{270919,270922,270930,288448,288451,288453,288454,300956,300961,300962}",0,{null},1,{48173}
SITE_RESPONSIBILITY,N104,This claim/service is not payable under our claims jurisdiction area. You can identify the correct Medicare contractor to process this claim/service through the CMS website at www.cms.gov.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,1,"{102807,null}",0,{null},7,"{45088,118267,118268,118269,151247,152617,251624,null}",2,"{102807,493413,null}",3,"{31329,45088,251624}"
ATHELAS_RESPONSIBILITY,N105,"This is a misdirected claim/service for an RRB beneficiary. Submit paper claims to the RRB carrier: Palmetto GBA, P.O. Box 10066, Augusta, GA 30999. Call 888-355-9165 for RRB EDI information for electronic claims processing.",109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,59,"{31612,200891,231209,232576,232577,232578,232579,232580,232581,232582,232583,232584,234020,234066,234081,234115,234148,234149,234151,234154,234157,234159,234163,256241,256242,266071,266072,268301,314078,314080,314085,318260,318261,324775,324824,331711,360364,360365,381111,424984,424985,424987,424994,424995,440154,469620,469634,519423,519426,562867,562868,565054,565849,567100,567106,569633,569641,589228,589264,null}",77,"{35033,35049,35189,92012,92337,92506,92589,140854,140878,140881,140885,144695,201735,234130,234131,234132,234135,234136,234153,234156,234162,234165,234166,234167,234168,234169,234170,234631,234632,235780,235800,235806,235808,235809,235811,235812,235813,235816,235818,250751,254712,255163,313617,324760,324761,324763,324769,419386,437467,438841,440027,461929,479991,481811,516363,520612,548661,549052,549141,549409,555651,562958,621465,621467,628321,628324,628325,628326,628330,628342,628343,628531,631357,631359,631360,631363,631367,null}",48,"{45074,45080,45082,45083,45085,45086,45087,45089,56538,77676,92336,92592,100522,124704,140884,145646,145656,145657,145658,145659,242231,296853,301115,301117,309397,309402,325927,325928,331525,372380,372381,372394,391686,401385,402778,437584,461917,464309,501677,535599,536932,554534,555646,559024,559080,566239,586926,602456,null}",6,"{373424,424989,424993,562865,562866,566240,null}",8,"{34875,71133,75161,77676,239902,275226,523817,624396}"
NON_WORKABLE,N105,"This is a misdirected claim/service for an RRB beneficiary. Submit paper claims to the RRB carrier: Palmetto GBA, P.O. Box 10066, Augusta, GA 30999. Call 888-355-9165 for RRB EDI information for electronic claims processing.",109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,1,"{232575,null}",4,"{92599,234161,393784,393785,null}",6,"{94668,95900,144642,155694,242235,360035}",0,{null},0,""
SITE_RESPONSIBILITY,N105,"This is a misdirected claim/service for an RRB beneficiary. Submit paper claims to the RRB carrier: Palmetto GBA, P.O. Box 10066, Augusta, GA 30999. Call 888-355-9165 for RRB EDI information for electronic claims processing.",109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,1,"{324774,null}",22,"{131504,144660,153158,159446,234133,234150,234155,255162,255172,320636,320637,324770,359499,461901,461928,480494,535605,590703,603098,603100,603101,615422,null}",16,"{110465,138883,159371,161663,213289,224916,234669,372389,402774,469631,501719,559704,567191,589333,602454,602458,null}",0,{null},6,"{14147,234669,234680,545285,589333,629333}"
ATHELAS_RESPONSIBILITY,N123,Alert: This is a split service and represents a portion of the units from the originally submitted service.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,1,{156988},0,{null},0,{null},0,{null},0,""
ATHELAS_RESPONSIBILITY,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,34,"{325920,328663,328664,328665,328666,328668,328669,328670,333335,333338,333341,333427,340030,340031,340032,340033,340034,340035,340036,340037,340038,372413,372414,440553,440555,440557,440559,440560,440561,440566,440573,441037,451570,566066}",3,"{497317,516186,629292,null}",22,"{246564,266897,266903,266904,266905,266907,266909,266910,266912,266913,266915,266916,266917,266919,278627,300462,300464,333644,333650,372416,529182,611138,null}",0,{null},3,"{584527,614389,628263}"
NON_WORKABLE,N130,Consult plan benefit documents/guidelines for information about restrictions for this service.,109,Claim/service not covered by this payer/contractor. You must send the claim/service to the correct payer/contractor.,0,{null},1,{268118},0,{null},0,{null},7,"{219712,334880,334881,334883,334885,334886,334889}"
